Bill,Bill Type,Bill Num,Session,Bill Status,Money Given in Favor of Bill,Money Given in against the Bill,Bill Title,Bill URL
943474,hr,1507,112,UNOPPOSED,1982283,1602297,,http://maplight.org/us-congress/bill/112-hr-1507/943474/total-contributions
1000794,s,1508,112,UNOPPOSED,10621819,0,,http://maplight.org/us-congress/bill/112-s-1508/1000794/total-contributions
943499,hr,1519,112,UNOPPOSED,4388091,2379888,,http://maplight.org/us-congress/bill/112-hr-1519/943499/total-contributions
1010100,s,1523,112,UNOPPOSED,18639721,4313659,,http://maplight.org/us-congress/bill/112-s-1523/1010100/total-contributions
1010106,s,1528,112,UNOPPOSED,17807581,3082567,,http://maplight.org/us-congress/bill/112-s-1528/1010106/total-contributions
943521,hr,1528,112,UNOPPOSED,0,1620187,,http://maplight.org/us-congress/bill/112-hr-1528/943521/total-contributions
1010113,s,1535,112,UNOPPOSED,0,2300400,,http://maplight.org/us-congress/bill/112-s-1535/1010113/total-contributions
995490,hr,1539,112,UNOPPOSED,1814656,2664628,,http://maplight.org/us-congress/bill/112-hr-1539/995490/total-contributions
1023510,hr,1540,112,PASSED,13521645,12024575,National Defense Authorization Act for Fiscal Year 2012,http://maplight.org/us-congress/bill/112-hr-1540/1023510/total-contributions
980049,hr,1540,112,PASSED,15533809,3285345,National Defense Authorization Act for Fiscal Year 2012,http://maplight.org/us-congress/bill/112-hr-1540/980049/total-contributions
1011307,s,1544,112,UNOPPOSED,27253005,280700,,http://maplight.org/us-congress/bill/112-s-1544/1011307/total-contributions
1011484,s,1549,112,UNOPPOSED,37166988,9359186,,http://maplight.org/us-congress/bill/112-s-1549/1011484/total-contributions
1012231,s,1558,112,UNOPPOSED,7408926,0,,http://maplight.org/us-congress/bill/112-s-1558/1012231/total-contributions
989806,hr,1573,112,UNOPPOSED,14502135,6996479,,http://maplight.org/us-congress/bill/112-hr-1573/989806/total-contributions
1012492,s,1577,112,UNOPPOSED,31709161,0,,http://maplight.org/us-congress/bill/112-s-1577/1012492/total-contributions
944734,hr,1581,112,UNOPPOSED,11200391,10092521,,http://maplight.org/us-congress/bill/112-hr-1581/944734/total-contributions
1012680,s,1584,112,UNOPPOSED,1966639,0,,http://maplight.org/us-congress/bill/112-s-1584/1012680/total-contributions
944746,hr,1588,112,UNOPPOSED,524756,4342806,,http://maplight.org/us-congress/bill/112-hr-1588/944746/total-contributions
1012995,s,1593,112,UNOPPOSED,1675017,0,,http://maplight.org/us-congress/bill/112-s-1593/1012995/total-contributions
1013000,s,1597,112,UNOPPOSED,2429351,36075,,http://maplight.org/us-congress/bill/112-s-1597/1013000/total-contributions
1013001,s,1598,112,UNOPPOSED,1727983,0,,http://maplight.org/us-congress/bill/112-s-1598/1013001/total-contributions
1014073,s,1619,112,PASSED,9686427,33774755,Currency Exchange Rate Oversight Reform Act of 2011,http://maplight.org/us-congress/bill/112-s-1619/1014073/total-contributions
1016247,s,1619,112,PASSED,9686427,33774755,Currency Exchange Rate Oversight Reform Act of 2011,http://maplight.org/us-congress/bill/112-s-1619/1016247/total-contributions
1014702,s,1619,112,PASSED,9686427,33774755,Currency Exchange Rate Oversight Reform Act of 2011,http://maplight.org/us-congress/bill/112-s-1619/1014702/total-contributions
944810,hr,1622,112,UNOPPOSED,5717632,1846453,,http://maplight.org/us-congress/bill/112-hr-1622/944810/total-contributions
1024446,hr,1633,112,PASSED,22328831,15227256,Farm Dust Regulation Prevention Act of 2011,http://maplight.org/us-congress/bill/112-hr-1633/1024446/total-contributions
944827,hr,1633,112,PASSED,22328831,15227256,Farm Dust Regulation Prevention Act of 2011,http://maplight.org/us-congress/bill/112-hr-1633/944827/total-contributions
944839,hr,1639,112,UNOPPOSED,1779739,31373009,,http://maplight.org/us-congress/bill/112-hr-1639/944839/total-contributions
1014344,s,1640,112,UNOPPOSED,2385093,0,,http://maplight.org/us-congress/bill/112-s-1640/1014344/total-contributions
1014345,s,1641,112,UNOPPOSED,100799978,22092517,,http://maplight.org/us-congress/bill/112-s-1641/1014345/total-contributions
1014346,s,1642,112,UNOPPOSED,101018803,1099270,,http://maplight.org/us-congress/bill/112-s-1642/1014346/total-contributions
1014347,s,1643,112,UNOPPOSED,100225224,1099270,,http://maplight.org/us-congress/bill/112-s-1643/1014347/total-contributions
1014501,s,1650,112,UNOPPOSED,22443087,0,,http://maplight.org/us-congress/bill/112-s-1650/1014501/total-contributions
1014700,s,1658,112,UNOPPOSED,1408954,228355,,http://maplight.org/us-congress/bill/112-s-1658/1014700/total-contributions
1015853,s,1660,112,NOT PASSED,37166988,9877126,,http://maplight.org/us-congress/bill/112-s-1660/1015853/total-contributions
1014701,s,1660,112,UNOPPOSED,37166988,9877126,,http://maplight.org/us-congress/bill/112-s-1660/1014701/total-contributions
1015040,s,1673,112,UNOPPOSED,12921460,0,,http://maplight.org/us-congress/bill/112-s-1673/1015040/total-contributions
948941,hr,1683,112,UNOPPOSED,8398602,0,,http://maplight.org/us-congress/bill/112-hr-1683/948941/total-contributions
948955,hr,1690,112,UNOPPOSED,2599061,0,,http://maplight.org/us-congress/bill/112-hr-1690/948955/total-contributions
1016316,s,1691,112,UNOPPOSED,9923051,0,,http://maplight.org/us-congress/bill/112-s-1691/1016316/total-contributions
948964,hr,1697,112,UNOPPOSED,12068653,0,,http://maplight.org/us-congress/bill/112-hr-1697/948964/total-contributions
1016679,s,1700,112,UNOPPOSED,5542171,750,,http://maplight.org/us-congress/bill/112-s-1700/1016679/total-contributions
949759,hr,1705,112,UNOPPOSED,971729,6513550,,http://maplight.org/us-congress/bill/112-hr-1705/949759/total-contributions
1016973,s,1718,112,UNOPPOSED,113280618,0,,http://maplight.org/us-congress/bill/112-s-1718/1016973/total-contributions
1016975,s,1720,112,UNOPPOSED,8996812,15384035,,http://maplight.org/us-congress/bill/112-s-1720/1016975/total-contributions
1016978,s,1723,112,UNOPPOSED,11360399,0,,http://maplight.org/us-congress/bill/112-s-1723/1016978/total-contributions
1017584,s,1723,112,NOT PASSED,11360399,0,,http://maplight.org/us-congress/bill/112-s-1723/1017584/total-contributions
949793,hr,1723,112,UNOPPOSED,22221263,0,,http://maplight.org/us-congress/bill/112-hr-1723/949793/total-contributions
1033256,hr,1734,112,PASSED,8500,9272581,Civilian Property Realignment Act,http://maplight.org/us-congress/bill/112-hr-1734/1033256/total-contributions
949808,hr,1734,112,PASSED,8500,9272581,Civilian Property Realignment Act,http://maplight.org/us-congress/bill/112-hr-1734/949808/total-contributions
1017566,s,1737,112,UNOPPOSED,31467540,0,,http://maplight.org/us-congress/bill/112-s-1737/1017566/total-contributions
950776,hr,1739,112,UNOPPOSED,18477617,0,,http://maplight.org/us-congress/bill/112-hr-1739/950776/total-contributions
950786,hr,1745,112,UNOPPOSED,12535792,4172173,,http://maplight.org/us-congress/bill/112-hr-1745/950786/total-contributions
1017969,s,1747,112,UNOPPOSED,189600,2209575,,http://maplight.org/us-congress/bill/112-s-1747/1017969/total-contributions
1017973,s,1751,112,UNOPPOSED,19794689,21875002,,http://maplight.org/us-congress/bill/112-s-1751/1017973/total-contributions
1020354,s,1769,112,NOT PASSED,24328240,262394,,http://maplight.org/us-congress/bill/112-s-1769/1020354/total-contributions
1019587,s,1769,112,UNOPPOSED,24328240,262394,,http://maplight.org/us-congress/bill/112-s-1769/1019587/total-contributions
1020010,s,1773,112,UNOPPOSED,18085951,0,,http://maplight.org/us-congress/bill/112-s-1773/1020010/total-contributions
950840,hr,1777,112,UNOPPOSED,8398602,0,,http://maplight.org/us-congress/bill/112-hr-1777/950840/total-contributions
950849,hr,1781,112,UNOPPOSED,177188,1941687,,http://maplight.org/us-congress/bill/112-hr-1781/950849/total-contributions
1020355,s,1786,112,NOT PASSED,9223131,34543293,,http://maplight.org/us-congress/bill/112-s-1786/1020355/total-contributions
1020343,s,1786,112,UNOPPOSED,9223131,34264661,,http://maplight.org/us-congress/bill/112-s-1786/1020343/total-contributions
1060967,s,1789,112,PASSED,301535,316025,21st Century Postal Service Act of 2012,http://maplight.org/us-congress/bill/112-s-1789/1060967/total-contributions
1060365,s,1789,112,NOT PASSED,16848183,0,21st Century Postal Service Act of 2012,http://maplight.org/us-congress/bill/112-s-1789/1060365/total-contributions
1020346,s,1789,112,PASSED,301535,316025,21st Century Postal Service Act of 2012,http://maplight.org/us-congress/bill/112-s-1789/1020346/total-contributions
1020348,s,1791,112,UNOPPOSED,1867377,2604440,21st Century Postal Service Act of 2012,http://maplight.org/us-congress/bill/112-s-1791/1020348/total-contributions
951142,hr,1796,112,UNOPPOSED,24201244,0,,http://maplight.org/us-congress/bill/112-hr-1796/951142/total-contributions
1020721,s,1804,112,UNOPPOSED,8173930,0,,http://maplight.org/us-congress/bill/112-s-1804/1020721/total-contributions
952499,hr,1804,112,UNOPPOSED,5049813,33150,,http://maplight.org/us-congress/bill/112-hr-1804/952499/total-contributions
952500,hr,1805,112,UNOPPOSED,180549,0,,http://maplight.org/us-congress/bill/112-hr-1805/952500/total-contributions
1042473,s,1813,112,PASSED,0,525866,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1042473/total-contributions
1046545,s,1813,112,PASSED,0,496576,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1046545/total-contributions
1046543,s,1813,112,PASSED,891133,20401,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1046543/total-contributions
1046665,s,1813,112,NOT PASSED,0,308432,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1046665/total-contributions
1046551,s,1813,112,PASSED,45700932,10876809,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1046551/total-contributions
1045575,s,1813,112,NOT PASSED,52935515,3532017,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1045575/total-contributions
1045566,s,1813,112,PASSED,17624759,0,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1045566/total-contributions
1035347,s,1813,112,NOT PASSED,44502042,10876809,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1035347/total-contributions
1045571,s,1813,112,NOT PASSED,11992512,0,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1045571/total-contributions
1033772,s,1813,112,PASSED,34030269,11770250,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1033772/total-contributions
1046418,s,1813,112,NOT PASSED,0,336644,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1046418/total-contributions
1046410,s,1813,112,NOT PASSED,18120301,15123845,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1046410/total-contributions
1046417,s,1813,112,NOT PASSED,0,336644,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1046417/total-contributions
1046416,s,1813,112,NOT PASSED,36075,15023756,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1046416/total-contributions
1046415,s,1813,112,NOT PASSED,0,3653393,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1046415/total-contributions
1046414,s,1813,112,PASSED,0,31626516,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1046414/total-contributions
1046529,s,1813,112,PASSED,5421937,0,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1046529/total-contributions
1021168,s,1813,112,PASSED,45700932,10876809,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1021168/total-contributions
1046412,s,1813,112,NOT PASSED,2068576,8960737,MAP-21,http://maplight.org/us-congress/bill/112-s-1813/1046412/total-contributions
1021251,s,1824,112,UNOPPOSED,15083120,301101,,http://maplight.org/us-congress/bill/112-s-1824/1021251/total-contributions
953355,hr,1830,112,UNOPPOSED,9041343,0,,http://maplight.org/us-congress/bill/112-hr-1830/953355/total-contributions
1021310,s,1831,112,UNOPPOSED,22985102,2079487,,http://maplight.org/us-congress/bill/112-s-1831/1021310/total-contributions
1021311,s,1832,112,UNOPPOSED,51966913,9066100,,http://maplight.org/us-congress/bill/112-s-1832/1021311/total-contributions
953365,hr,1834,112,UNOPPOSED,13819756,10306003,,http://maplight.org/us-congress/bill/112-hr-1834/953365/total-contributions
1021315,s,1835,112,UNOPPOSED,63632713,0,,http://maplight.org/us-congress/bill/112-s-1835/1021315/total-contributions
1042099,hr,1837,112,PASSED,14897333,2551900,Sacramento-San Joaquin Valley Water Reliability Act,http://maplight.org/us-congress/bill/112-hr-1837/1042099/total-contributions
953368,hr,1837,112,PASSED,14897333,2551900,Sacramento-San Joaquin Valley Water Reliability Act,http://maplight.org/us-congress/bill/112-hr-1837/953368/total-contributions
953373,hr,1840,112,UNOPPOSED,23443168,0,,http://maplight.org/us-congress/bill/112-hr-1840/953373/total-contributions
953375,hr,1842,112,UNOPPOSED,7218936,8262515,,http://maplight.org/us-congress/bill/112-hr-1842/953375/total-contributions
1021473,s,1843,112,UNOPPOSED,9955504,0,,http://maplight.org/us-congress/bill/112-s-1843/1021473/total-contributions
953387,hr,1847,112,UNOPPOSED,2759218,0,,http://maplight.org/us-congress/bill/112-hr-1847/953387/total-contributions
1021480,s,1850,112,UNOPPOSED,8227719,0,,http://maplight.org/us-congress/bill/112-s-1850/1021480/total-contributions
1045846,s,1855,112,PASSED,37667619,0,Pandemic and All-Hazards Preparedness Act Reauthorization of 2011,http://maplight.org/us-congress/bill/112-s-1855/1045846/total-contributions
954219,hr,1860,112,UNOPPOSED,40670990,5903345,,http://maplight.org/us-congress/bill/112-hr-1860/954219/total-contributions
1021777,s,1861,112,UNOPPOSED,10712364,0,,http://maplight.org/us-congress/bill/112-s-1861/1021777/total-contributions
954220,hr,1861,112,UNOPPOSED,4014291,0,,http://maplight.org/us-congress/bill/112-hr-1861/954220/total-contributions
1021779,s,1863,112,UNOPPOSED,0,12073794,,http://maplight.org/us-congress/bill/112-s-1863/1021779/total-contributions
1069699,hr,1864,112,PASSED,182878198,6086048,Mobile Workforce State Income Tax Simplification Act of 2012,http://maplight.org/us-congress/bill/112-hr-1864/1069699/total-contributions
1021788,s,1871,112,UNOPPOSED,11572068,0,,http://maplight.org/us-congress/bill/112-s-1871/1021788/total-contributions
1022218,s,1884,112,UNOPPOSED,12295427,0,,http://maplight.org/us-congress/bill/112-s-1884/1022218/total-contributions
1022222,s,1888,112,UNOPPOSED,3575251,0,,http://maplight.org/us-congress/bill/112-s-1888/1022222/total-contributions
954458,hr,1891,112,UNOPPOSED,8544669,0,,http://maplight.org/us-congress/bill/112-hr-1891/954458/total-contributions
954464,hr,1895,112,UNOPPOSED,478,2690419,,http://maplight.org/us-congress/bill/112-hr-1895/954464/total-contributions
1022237,s,1903,112,UNOPPOSED,12309645,0,,http://maplight.org/us-congress/bill/112-s-1903/1022237/total-contributions
954481,hr,1904,112,PASSED,14662014,2948980,Southeast Arizona Land Exchange and Conservation Act of 2011,http://maplight.org/us-congress/bill/112-hr-1904/954481/total-contributions
1018792,hr,1904,112,PASSED,14662014,2948980,Southeast Arizona Land Exchange and Conservation Act of 2011,http://maplight.org/us-congress/bill/112-hr-1904/1018792/total-contributions
1022398,s,1910,112,UNOPPOSED,25435522,0,,http://maplight.org/us-congress/bill/112-s-1910/1022398/total-contributions
1023394,s,1925,112,PASSED,45478768,9004437,Violence Against Women Reauthorization Act of 2012,http://maplight.org/us-congress/bill/112-s-1925/1023394/total-contributions
1061745,s,1925,112,PASSED,45478768,9004437,Violence Against Women Reauthorization Act of 2012,http://maplight.org/us-congress/bill/112-s-1925/1061745/total-contributions
1023395,s,1926,112,UNOPPOSED,2060076,0,,http://maplight.org/us-congress/bill/112-s-1926/1023395/total-contributions
1023424,s,1931,112,NOT PASSED,0,17475458,,http://maplight.org/us-congress/bill/112-s-1931/1023424/total-contributions
1024453,s,1931,112,NOT PASSED,0,17475458,,http://maplight.org/us-congress/bill/112-s-1931/1024453/total-contributions
1023401,s,1932,112,UNOPPOSED,5651187,3082567,,http://maplight.org/us-congress/bill/112-s-1932/1023401/total-contributions
1023806,s,1933,112,UNOPPOSED,30409458,280700,,http://maplight.org/us-congress/bill/112-s-1933/1023806/total-contributions
999677,hr,1938,112,PASSED,28200722,1610197,North American-Made Energy Security Act,http://maplight.org/us-congress/bill/112-hr-1938/999677/total-contributions
979190,hr,1938,112,PASSED,28200722,1610197,North American-Made Energy Security Act,http://maplight.org/us-congress/bill/112-hr-1938/979190/total-contributions
1024044,s,1943,112,UNOPPOSED,4019583,0,,http://maplight.org/us-congress/bill/112-s-1943/1024044/total-contributions
1024046,s,1945,112,UNOPPOSED,23661305,0,,http://maplight.org/us-congress/bill/112-s-1945/1024046/total-contributions
979209,hr,1946,112,UNOPPOSED,661753,12224905,,http://maplight.org/us-congress/bill/112-hr-1946/979209/total-contributions
1024435,s,1955,112,UNOPPOSED,450200,555250,,http://maplight.org/us-congress/bill/112-s-1955/1024435/total-contributions
1102850,s,1956,112,PASSED,15766447,3532017,European Union Emissions Trading Scheme Prohibition Act of 2011,http://maplight.org/us-congress/bill/112-s-1956/1102850/total-contributions
1105020,s,1956,112,PASSED,17050073,1900305,European Union Emissions Trading Scheme Prohibition Act of 2011,http://maplight.org/us-congress/bill/112-s-1956/1105020/total-contributions
1024442,s,1962,112,UNOPPOSED,2139712,0,,http://maplight.org/us-congress/bill/112-s-1962/1024442/total-contributions
1024672,s,1963,112,UNOPPOSED,15833096,0,,http://maplight.org/us-congress/bill/112-s-1963/1024672/total-contributions
979569,hr,1964,112,UNOPPOSED,6446850,0,,http://maplight.org/us-congress/bill/112-hr-1964/979569/total-contributions
1020017,hr,1965,112,PASSED,13252853,0,,http://maplight.org/us-congress/bill/112-hr-1965/1020017/total-contributions
979570,hr,1965,112,PASSED,13252853,0,,http://maplight.org/us-congress/bill/112-hr-1965/979570/total-contributions
979571,hr,1966,112,UNOPPOSED,2755189,0,,http://maplight.org/us-congress/bill/112-hr-1966/979571/total-contributions
979581,hr,1971,112,UNOPPOSED,1552538,6998959,,http://maplight.org/us-congress/bill/112-hr-1971/979581/total-contributions
979591,hr,1976,112,UNOPPOSED,56117605,0,,http://maplight.org/us-congress/bill/112-hr-1976/979591/total-contributions
979986,hr,1981,112,UNOPPOSED,6857376,16817228,,http://maplight.org/us-congress/bill/112-hr-1981/979986/total-contributions
1025009,s,1983,112,UNOPPOSED,893441,0,,http://maplight.org/us-congress/bill/112-s-1983/1025009/total-contributions
980003,hr,1995,112,UNOPPOSED,3068584,0,,http://maplight.org/us-congress/bill/112-hr-1995/980003/total-contributions
1025280,s,2002,112,UNOPPOSED,11133340,0,,http://maplight.org/us-congress/bill/112-s-2002/1025280/total-contributions
1025281,s,2003,112,UNOPPOSED,21468751,0,,http://maplight.org/us-congress/bill/112-s-2003/1025281/total-contributions
1025284,s,2006,112,UNOPPOSED,12284574,226303,,http://maplight.org/us-congress/bill/112-s-2006/1025284/total-contributions
980865,hr,2008,112,UNOPPOSED,97066249,478,,http://maplight.org/us-congress/bill/112-hr-2008/980865/total-contributions
1025445,s,2008,112,UNOPPOSED,22943998,10711883,,http://maplight.org/us-congress/bill/112-s-2008/1025445/total-contributions
1025453,s,2010,112,UNOPPOSED,9027076,0,,http://maplight.org/us-congress/bill/112-s-2010/1025453/total-contributions
1025454,s,2011,112,UNOPPOSED,14847682,9798843,,http://maplight.org/us-congress/bill/112-s-2011/1025454/total-contributions
980871,hr,2011,112,UNOPPOSED,3769966,0,,http://maplight.org/us-congress/bill/112-hr-2011/980871/total-contributions
980884,hr,2014,112,UNOPPOSED,1125674,0,,http://maplight.org/us-congress/bill/112-hr-2014/980884/total-contributions
1025459,s,2016,112,UNOPPOSED,8689677,0,,http://maplight.org/us-congress/bill/112-s-2016/1025459/total-contributions
980889,hr,2018,112,PASSED,37480388,1834647,Clean Water Cooperative Federalism Act of 2011,http://maplight.org/us-congress/bill/112-hr-2018/980889/total-contributions
997238,hr,2018,112,PASSED,37480388,1834647,Clean Water Cooperative Federalism Act of 2011,http://maplight.org/us-congress/bill/112-hr-2018/997238/total-contributions
989879,hr,2021,112,PASSED,10712286,1603447,Jobs and Energy Permitting Act of 2011,http://maplight.org/us-congress/bill/112-hr-2021/989879/total-contributions
980903,hr,2028,112,UNOPPOSED,39992016,0,,http://maplight.org/us-congress/bill/112-hr-2028/980903/total-contributions
1025525,s,2029,112,UNOPPOSED,2576184,4824412,,http://maplight.org/us-congress/bill/112-s-2029/1025525/total-contributions
1030666,s,2037,112,UNOPPOSED,1491148,0,,http://maplight.org/us-congress/bill/112-s-2037/1030666/total-contributions
1030667,s,2038,112,PASSED,12192968,0,STOCK Act,http://maplight.org/us-congress/bill/112-s-2038/1030667/total-contributions
1033711,s,2038,112,PASSED,4386959,0,STOCK Act,http://maplight.org/us-congress/bill/112-s-2038/1033711/total-contributions
1051058,s,2038,112,PASSED,12192968,0,STOCK Act,http://maplight.org/us-congress/bill/112-s-2038/1051058/total-contributions
1030787,s,2038,112,PASSED,11601268,0,STOCK Act,http://maplight.org/us-congress/bill/112-s-2038/1030787/total-contributions
1031955,s,2038,112,PASSED,11601268,0,STOCK Act,http://maplight.org/us-congress/bill/112-s-2038/1031955/total-contributions
980921,hr,2040,112,UNOPPOSED,8262515,354675,,http://maplight.org/us-congress/bill/112-hr-2040/980921/total-contributions
1030927,s,2041,112,UNOPPOSED,19820752,3082567,,http://maplight.org/us-congress/bill/112-s-2041/1030927/total-contributions
1030929,s,2043,112,UNOPPOSED,9819555,10826263,,http://maplight.org/us-congress/bill/112-s-2043/1030929/total-contributions
980928,hr,2045,112,UNOPPOSED,1726142,0,,http://maplight.org/us-congress/bill/112-hr-2045/980928/total-contributions
1031222,s,2050,112,UNOPPOSED,38972763,0,,http://maplight.org/us-congress/bill/112-s-2050/1031222/total-contributions
1031909,s,2059,112,UNOPPOSED,31288076,0,,http://maplight.org/us-congress/bill/112-s-2059/1031909/total-contributions
1020018,hr,2061,112,PASSED,9566948,0,Civilian Service Recognition Act of 2011,http://maplight.org/us-congress/bill/112-hr-2061/1020018/total-contributions
1032681,s,2065,112,UNOPPOSED,9144206,1624480,,http://maplight.org/us-congress/bill/112-s-2065/1032681/total-contributions
1032684,s,2068,112,UNOPPOSED,14593574,450200,,http://maplight.org/us-congress/bill/112-s-2068/1032684/total-contributions
1069377,hr,2072,112,PASSED,31457807,8996812,Export-Import Bank Reauthorization Act of 2012,http://maplight.org/us-congress/bill/112-hr-2072/1069377/total-contributions
1067183,hr,2072,112,PASSED,32705167,8329715,Export-Import Bank Reauthorization Act of 2012,http://maplight.org/us-congress/bill/112-hr-2072/1067183/total-contributions
1033575,s,2075,112,UNOPPOSED,3363267,262394,,http://maplight.org/us-congress/bill/112-s-2075/1033575/total-contributions
1033577,s,2077,112,UNOPPOSED,827706,0,,http://maplight.org/us-congress/bill/112-s-2077/1033577/total-contributions
1034128,s,2092,112,UNOPPOSED,16051167,9178152,,http://maplight.org/us-congress/bill/112-s-2092/1034128/total-contributions
1062420,hr,2096,112,PASSED,37598492,0,Cybersecurity Enhancement Act of 2012,http://maplight.org/us-congress/bill/112-hr-2096/1062420/total-contributions
1034132,s,2096,112,UNOPPOSED,1285651,7057655,Cybersecurity Enhancement Act of 2012,http://maplight.org/us-congress/bill/112-s-2096/1034132/total-contributions
984796,hr,2104,112,UNOPPOSED,31503943,0,,http://maplight.org/us-congress/bill/112-hr-2104/984796/total-contributions
1035030,s,2105,112,UNOPPOSED,14519891,59405210,,http://maplight.org/us-congress/bill/112-s-2105/1035030/total-contributions
985137,hr,2107,112,UNOPPOSED,425909,0,,http://maplight.org/us-congress/bill/112-hr-2107/985137/total-contributions
989757,hr,2112,112,PASSED,1603447,632723,"Consolidated and Further Continuing Appropriations Act, 2012",http://maplight.org/us-congress/bill/112-hr-2112/989757/total-contributions
989753,hr,2112,112,NOT PASSED,1603447,451144,"Consolidated and Further Continuing Appropriations Act, 2012",http://maplight.org/us-congress/bill/112-hr-2112/989753/total-contributions
989741,hr,2112,112,NOT PASSED,8270015,0,"Consolidated and Further Continuing Appropriations Act, 2012",http://maplight.org/us-congress/bill/112-hr-2112/989741/total-contributions
989742,hr,2112,112,PASSED,1611947,0,"Consolidated and Further Continuing Appropriations Act, 2012",http://maplight.org/us-congress/bill/112-hr-2112/989742/total-contributions
989695,hr,2112,112,PASSED,3262547,1162921,"Consolidated and Further Continuing Appropriations Act, 2012",http://maplight.org/us-congress/bill/112-hr-2112/989695/total-contributions
989737,hr,2112,112,PASSED,10439308,3323593,"Consolidated and Further Continuing Appropriations Act, 2012",http://maplight.org/us-congress/bill/112-hr-2112/989737/total-contributions
989725,hr,2112,112,NOT PASSED,1611947,451144,"Consolidated and Further Continuing Appropriations Act, 2012",http://maplight.org/us-congress/bill/112-hr-2112/989725/total-contributions
987469,hr,2112,112,NOT PASSED,0,31241045,"Consolidated and Further Continuing Appropriations Act, 2012",http://maplight.org/us-congress/bill/112-hr-2112/987469/total-contributions
1021985,hr,2112,112,PASSED,11898846,4627310,"Consolidated and Further Continuing Appropriations Act, 2012",http://maplight.org/us-congress/bill/112-hr-2112/1021985/total-contributions
1019591,hr,2112,112,PASSED,11898846,4627310,"Consolidated and Further Continuing Appropriations Act, 2012",http://maplight.org/us-congress/bill/112-hr-2112/1019591/total-contributions
1035326,s,2113,112,UNOPPOSED,9256904,0,,http://maplight.org/us-congress/bill/112-s-2113/1035326/total-contributions
1041940,hr,2117,112,PASSED,7979822,0,Protecting Academic Freedom in Higher Education Act,http://maplight.org/us-congress/bill/112-hr-2117/1041940/total-contributions
985157,hr,2117,112,PASSED,7979822,0,Protecting Academic Freedom in Higher Education Act,http://maplight.org/us-congress/bill/112-hr-2117/985157/total-contributions
1035460,s,2122,112,UNOPPOSED,8996812,3082567,,http://maplight.org/us-congress/bill/112-s-2122/1035460/total-contributions
985172,hr,2126,112,UNOPPOSED,1215574,0,,http://maplight.org/us-congress/bill/112-hr-2126/985172/total-contributions
985179,hr,2131,112,UNOPPOSED,733689,0,,http://maplight.org/us-congress/bill/112-hr-2131/985179/total-contributions
1061660,hr,2146,112,PASSED,16110957,4580260,DATA Act,http://maplight.org/us-congress/bill/112-hr-2146/1061660/total-contributions
1043070,s,2146,112,UNOPPOSED,16000333,8960737,,http://maplight.org/us-congress/bill/112-s-2146/1043070/total-contributions
1043073,s,2149,112,UNOPPOSED,12875728,0,,http://maplight.org/us-congress/bill/112-s-2149/1043073/total-contributions
987103,hr,2150,112,UNOPPOSED,4938492,1607447,,http://maplight.org/us-congress/bill/112-hr-2150/987103/total-contributions
1043075,s,2151,112,UNOPPOSED,496576,27293043,,http://maplight.org/us-congress/bill/112-s-2151/1043075/total-contributions
989941,hr,2164,112,UNOPPOSED,19722739,41133990,,http://maplight.org/us-congress/bill/112-hr-2164/989941/total-contributions
1086100,s,2165,112,PASSED,6520990,191088,United States-Israel Enhanced Security Cooperation Act of 2012,http://maplight.org/us-congress/bill/112-s-2165/1086100/total-contributions
1083433,s,2165,112,PASSED,11784409,453257,United States-Israel Enhanced Security Cooperation Act of 2012,http://maplight.org/us-congress/bill/112-s-2165/1083433/total-contributions
989948,hr,2167,112,UNOPPOSED,28352989,4542973,,http://maplight.org/us-congress/bill/112-hr-2167/989948/total-contributions
1045971,s,2168,112,UNOPPOSED,1888273,31911833,,http://maplight.org/us-congress/bill/112-s-2168/1045971/total-contributions
989949,hr,2168,112,UNOPPOSED,16478,3029475,,http://maplight.org/us-congress/bill/112-hr-2168/989949/total-contributions
989955,hr,2171,112,UNOPPOSED,745376,1607447,,http://maplight.org/us-congress/bill/112-hr-2171/989955/total-contributions
989957,hr,2172,112,UNOPPOSED,745376,1607447,,http://maplight.org/us-congress/bill/112-hr-2172/989957/total-contributions
1045978,s,2173,112,UNOPPOSED,9417123,11571318,,http://maplight.org/us-congress/bill/112-s-2173/1045978/total-contributions
989961,hr,2173,112,UNOPPOSED,745376,1607447,,http://maplight.org/us-congress/bill/112-hr-2173/989961/total-contributions
